,Portfolio_Value,Daily_Return
2023-10-23,159448.7438882403,0.01483436484796825
2023-10-24,160935.7228536556,0.009325749009710348
2023-10-25,152915.8672306399,-0.04983266288435169
2023-10-26,148688.89153547483,-0.027642492383014864
2023-10-27,151923.6000471454,0.02175487676494512
2023-10-30,155152.35185964638,0.021252470396297875
2023-10-31,154804.19823035374,-0.0022439468375417657
2023-11-01,159294.3367116568,0.029005275907450303
2023-11-02,160801.15767345528,0.009459350488561481
2023-11-03,163238.34556375182,0.01515653198993645
2023-11-06,164808.5537763703,0.009619113739456743
2023-11-07,166523.3189375948,0.010404588365912426
2023-11-08,167393.06092148952,0.005222944086411641
2023-11-09,166757.55543843601,-0.003796486422765089
2023-11-10,170730.9076587763,0.02382711961622146
2023-11-13,170340.19980303748,-0.002288442444877625
2023-11-14,173298.08595247666,0.017364580720577782
2023-11-15,172046.39172860864,-0.007222781584623306
2023-11-16,173722.6986242932,0.00974334235575729
2023-11-17,173260.1303010009,-0.0026626821190055554
2023-11-20,175729.54920092976,0.014252666759737354
2023-11-21,174338.70936279563,-0.007914661162328774
2023-11-22,175462.61401485742,0.00644667300893571
2023-11-24,173962.5470242803,-0.008549211460226424
2023-11-27,174211.01780626082,0.0014283004372533936
2023-11-28,174766.6208855549,0.0031892533910337305
2023-11-29,173216.23370189482,-0.008871185903830759
2023-11-30,171023.40333865254,-0.012659496840325947
2023-12-01,170426.10014324274,-0.0034925231503377236
2023-12-04,167341.7442088848,-0.018097908311963673
2023-12-05,169163.5718243574,0.010886868809007643
2023-12-06,167169.95943197035,-0.011785116446092992
2023-12-07,171453.44351186135,0.025623527662780532
2023-12-08,172713.3453596825,0.007348361292807892
2023-12-11,170234.78195370437,-0.014350734743840677
2023-12-12,172379.44602693783,0.012598271919640424
2023-12-13,173074.89117523053,0.004034385562325005
2023-12-14,171826.0049913043,-0.007215871553903041
2023-12-15,173607.43250549625,0.010367624587920022
2023-12-18,177423.03570326595,0.021978340113110752
2023-12-19,177894.5981739469,0.0026578424205840447
2023-12-20,176516.08608321316,-0.007749038503045669
2023-12-21,178855.36530189306,0.013252498798195143
2023-12-22,178942.32739628103,0.00048621462510320965
2023-12-26,179430.14881266066,0.0027261376527158766
2023-12-27,179469.54893941837,0.0002195847633099879
2023-12-28,179684.63464268262,0.0011984523532561299
2023-12-29,178844.35862653278,-0.004676393269913337
2024-01-02,175737.14402606446,-0.01737384742985857
2024-01-03,174938.26593932736,-0.004545869293395488
2024-01-04,173715.59419802032,-0.006989161203478902
2024-01-05,174969.4866579288,0.0072180765676060025
2024-01-08,180278.32302385435,0.030341498208224536
2024-01-09,181969.4571420925,0.009380684764936587
2024-01-10,185712.70910823563,0.02057077063883397
2024-01-11,186433.67848905802,0.003882175777222785
2024-01-12,187230.94764652353,0.004276422392815205
2024-01-16,187450.32698449978,0.001171704468379043
2024-01-17,186624.27453100943,-0.004406780541698719
2024-01-18,189504.76333662868,0.01543469526061374
2024-01-19,193506.84137951102,0.021118614500329036
2024-01-22,192992.00909312398,-0.0026605379051034776
2024-01-23,194298.96904417835,0.006772093607376739
2024-01-24,196827.20587595456,0.01301209596846271
2024-01-25,198526.58458891785,0.008633860880158294
2024-01-26,198582.21533873107,0.00028021813767855567
2024-01-29,201656.60452350497,0.015481694468609808
2024-01-30,200544.5142201758,-0.005514772531040668
2024-01-31,193705.53410376777,-0.034102055311767535
2024-02-01,197026.48519000335,0.0171443273502788
2024-02-02,211158.03837931275,0.07172412975687803
2024-02-05,211242.42913802425,0.00039965686061132
2024-02-06,209954.41702422447,-0.006097317281644177
2024-02-07,214130.86917281646,0.01989218520756393
2024-02-08,213830.26638432732,-0.0014038274334304823
2024-02-09,217920.1666816185,0.01912685405320589
2024-02-12,216557.82562185827,-0.006251560286986102
2024-02-13,213110.9430577991,-0.015916684396702154
2024-02-14,216615.40003327894,0.016444284489555108
2024-02-15,215321.3209193549,-0.005974086393327483
2024-02-16,213324.74168381945,-0.009272557064997966
2024-02-20,210762.3812633958,-0.012011548216106439
2024-02-21,210016.89638062744,-0.003537087018563967
2024-02-22,221465.39488617275,0.054512273549631333
2024-02-23,221354.52468879474,-0.0005006208641987975
2024-02-26,218966.60376858615,-0.010787766473559947
2024-02-27,219345.12297223124,0.001728661801071496
2024-02-28,217633.71426266004,-0.0078023558781739055
2024-02-29,221196.03235593575,0.016368411049477238
2024-03-01,224208.05446689483,0.013616980733688222
2024-03-04,223990.3778511455,-0.0009708688488775374
2024-03-05,221231.84958079417,-0.012315387369829532
2024-03-06,222529.80086483003,0.005866927779590969
2024-03-07,228604.3800841238,0.027297823463130658
2024-03-08,225154.93898829035,-0.015089129502086053
2024-03-11,221954.98236647615,-0.014212242628089289
2024-03-12,228949.38940872255,0.031512728246386866
2024-03-13,228767.84613796938,-0.0007929406198548651
2024-03-14,229706.87006239645,0.004104702388379989
2024-03-15,226248.8724247048,-0.015053958276268944
2024-03-18,229967.843804666,0.01643752448401199
2024-03-19,231012.34337806562,0.004541937499256732
2024-03-20,233926.89083022415,0.012616414385220587
2024-03-21,234781.4335802486,0.003653033419935503
2024-03-22,237544.76519807827,0.011769804688943442
2024-03-25,236643.38755824522,-0.0037945590553487784
2024-03-26,234438.92318169092,-0.009315554511370805
2024-03-27,233516.42565872267,-0.003934916226574247
2024-03-28,232870.98728457902,-0.0027639956046900506
2024-04-01,235413.70698590286,0.010919005973966469
2024-04-02,234742.2784985348,-0.002852121467201818
2024-04-03,235444.9071478014,0.002993191741005296
2024-04-04,232249.3600757031,-0.01357237712554258
2024-04-05,236655.8952515142,0.01897329307764184
2024-04-08,236342.376366678,-0.0013247879775104775
2024-04-09,236107.1574291104,-0.0009952465621428485
2024-04-10,236780.1109466008,0.0028502038007569563
2024-04-11,240645.492106114,0.016324771299667674
2024-04-12,236994.02409860154,-0.015173639761771619
2024-04-15,232913.15018881657,-0.01721931143752018
2024-04-16,233574.26781785046,0.0028384727461629564
2024-04-17,231601.54755584986,-0.00844579448083298
2024-04-18,233064.36383476705,0.006316090260858287
2024-04-19,225211.11301007884,-0.03369563109294478
2024-04-22,229147.66374172384,0.01747938047563773
2024-04-23,232006.09569968117,0.012474192017855934
2024-04-24,231387.20131972726,-0.002667578099995539
2024-04-25,226350.0942479937,-0.021769168921203064
2024-04-26,235239.3777640711,0.03927227662798374
2024-04-29,233032.82607303406,-0.00938002689860049
2024-04-30,229508.08073716384,-0.015125531433779859
2024-05-01,229840.40903928026,0.0014480026195548006
2024-05-02,233959.63007676287,0.017922092353997863
2024-05-03,237407.43713661155,0.01473676060573963
2024-05-06,241430.96674899777,0.016947782516480107
2024-05-07,242389.63556542576,0.003970778186978286
2024-05-08,241874.36296424028,-0.0021258029452600803
2024-05-09,242000.99582075505,0.000523548072490354
